Name,Approach,Approach Descriptor,Critical Success,CS Val,Success,S Val,Failure,F Val,Critical Failure,CF Val,Description,Status
1. Criminal Trial,"Virtuous","Show Mercy","Pardon 1d3, -1d4 Unrest",7,"Pardon 1d3, -1 Unrest",4,"-1d3 Gold, +1 Unrest",-4,"+1d4+1 Unrest",-7,"A high-profile trial demands the kingdom's attention.",Reviewed
,"Practical","Fair Trial","Faction +1, -1d3 Unrest",7,"-1d3 Unrest",4,"+1d3 Unrest",-4,"Faction -1, +1 Unrest",-5,"",
,"Ruthless","Harsh Punishment","Convert 2d4, +1d3 Gold",7,"Convert 1d3, +1d3 Gold",4,"-1d3 innocents",-4,"-1d3 innocents, +1d2 Unrest",-7,"",
2. Feud,"Virtuous","Mediate Peacefully","Faction +1, Faction +1, -1 Unrest",8,"-1d3 Unrest",4,"+1d3 Unrest",-4,"Faction -1, Faction -1, +1 Unrest",-8,"A bitter conflict between powerful families threatens stability.",Reviewed
,"Practical","Manipulate Outcome","+2d4 Gold, -1d2 Unrest",8,"+1d3 Gold, -1 Unrest",4,"-1d3 Gold, +1 Unrest",-4,"-1d3 Gold, Army fatigued, +1d2 Unrest",-8,"",
,"Ruthless","Force Compliance","Convert 2d3, +2d3 Gold",8,"Convert 1d3, +1d3 Gold",4,"+1d3 Unrest",-4,"Damage 1 structure, -1d2 innocents",-8,"",
3. Inquisition,"Virtuous","Protect the Accused","Faction +1, -1d4 Unrest",8,"Faction +1, +1 Gold",4,"Faction -1, -1 Gold",-4,"Faction -1, +1d4 Unrest",-8,"Religious authorities demand investigation of suspected heresy.",Reviewed
,"Practical","Formal Investigation","-1d3 Unrest, +2d3 Gold",8,"+1d3 Gold, -1 Unrest",4,"-1d3 Gold, +1 Unrest",-4,"+1d3 Unrest, -2d3 Gold",-8,"",
,"Ruthless","Support Inquisitors","+2d4 Gold, Faction +1",8,"Convert 1d3, +1d3 Gold",4,"+1d3 innocents",-4,"+1d3 Unrest, +1d3 innocents",-8,"",
4. Public Scandal,"Virtuous","Transparent Response","Gain Action",8,"-1 Unrest, +1d3 Gold",4,"+1 Unrest, -1d3 Gold",-4,"+1d4 Unrest, Faction -1",-8,"A scandal involving a prominent figure rocks the kingdom.",Reviewed
,"Practical","Manage Narrative","-1d3 Unrest, +2d3 Gold",8,"-1d3 Unrest",4,"+1d3 Unrest",-4,"Faction -1, Faction -1, -1d3 Gold",-8,"",
,"Ruthless","Suppress Story","Army Well Trained, Faction +1",8,"+1d3 Gold, -1 Unrest",4,"+1d3 innocents",-4,"-1d4 innocents, Faction -1",-8,"",
5. Plague,"Virtuous","Quarantine & Care","Faction +1, Faction +1, -1d3 Unrest",10,"Faction +1, +1 Gold",4,"-1d3 Food, -1d3 Gold",-4,"-2d4 Food, Settlement -1 Level",-10,"A deadly disease threatens the population.",Reviewed
,"Practical","Contain Spread","-1d4 Unrest, +1 Fame",10,"-1d3 Unrest",4,"-1d3 Food, +1 Unrest",-4,"+1d4 Unrest, -2d4 Food",-10,"",
,"Ruthless","Burn the Infected","+2d4 Gold, -1d4 Unrest",10,"-1d3 Unrest",4,"+1d3 Unrest",-4,"Lose Worksite, Damage 1 structure",-10,"",
6. Food Shortage,"Virtuous","Share Reserves","-1d3 Unrest, Faction +1, Faction +1",10,"-1d3 Unrest",4,"+1 Unrest, -1d3 Food",-4,"+1d3 Unrest, -2d4+1 Food",-10,"Crops fail and hunger spreads through the kingdom.",Reviewed
,"Practical","Ration & Import","-1d4 Unrest, +1 Fame",10,"-1d3 Unrest",4,"-1d3 Gold, +1 Unrest",-4,"+1d3 Unrest, -1d3 Gold, -2d3 Food",-10,"",
,"Ruthless","Feed Nobility","-1d4 Unrest, +2d4 Gold",10,"+2d3 Gold",4,"-1d3 Food, +1 Unrest",-4,"+1d4 Unrest, -1d3 Food, Faction -1",-10,"",
7. Natural Disaster,"Virtuous","Rescue & Relief","+1 Fame, Faction +1, -1 Unrest",10,"-1d4 Unrest",5,"Lose Worksite",-5,"Damage 1 structure, Lose Worksite",-10,"Earthquake, flood, or storm devastates the region.",Reviewed
,"Practical","Protect Infrastructure","+2d4 Gold, -1d4 Unrest",10,"-1d2 Unrest, +1d3 Gold",5,"+1 Unrest, -1d3 Food, -1 Gold",-5,"-1d3 Food, -1d3 Lumber, -1d3 Ore, +1d3 Unrest",-10,"",
,"Ruthless","Martial Law","-1d2 Unrest, +1d3 Gold, Army Well Trained",10,"+1d3 Gold, -1d2 Unrest",5,"Army enfeebled",-5,"Damage 1 structure, Army enfeebled",-10,"",
8. Immigration,"Virtuous","Welcome Citizens","+1d3 Gold, +1 Fame, Faction +1",10,"+1d3 Gold, Faction +1",5,"+1 Unrest, Faction -1",-5,"Faction -1, +1d3 Unrest, -1d3+1 Food",-10,"A large group of refugees seeks shelter in your kingdom.",Reviewed
,"Practical","Selective Entry","+1 Worksite, -1d4 Unrest",10,"-1d4 Unrest",5,"-1d3+1 Gold, -1d3 Food",-5,"-1 Fame, -2d3 Gold, -1d3 Food",-11,"",
,"Ruthless","Forced Labour","+1 Worksite, Settlement +1 Level",10,"+1 Worksite",5,"+1d4 Unrest",-5,"+1d4 Unrest, -1 Fame",-10,"",
9. Assassination Attempt,"Virtuous","Public Investigation","+1 Fame, Faction +1, -1d4 Unrest",13,"-1d3 Unrest",4,"+1d2 Unrest, -1 Gold",-4,"+1 Unrest, Lose Action",-10,"Someone tries to kill a key figure in the kingdom.",Reviewed
,"Practical","Secret Investigation","+2d4 Gold, -1d4 Unrest",10,"+1d3 Gold",2,"-1d3 Gold, -1 innocents",-4,"+1 Unrest, Lose Action",-10,"",
